2025/11/04 10:28:52 [error] 29#29: *3 directory index of "/usr/share/nginx/html/" is forbidden, client: 172.18.0.1, server: _, request: "GET / HTTP/1.1", host: "localhost"
2025/11/04 10:28:56 [error] 29#29: *4 directory index of "/usr/share/nginx/html/" is forbidden, client: 172.18.0.1, server: _, request: "GET / HTTP/1.1", host: "localhost"
2025/11/04 10:29:07 [error] 29#29: *4 directory index of "/usr/share/nginx/html/" is forbidden, client: 172.18.0.1, server: _, request: "GET / HTTP/1.1", host: "localhost"
2025/11/04 10:29:20 [error] 29#29: *6 directory index of "/usr/share/nginx/html/" is forbidden, client: 172.18.0.1, server: _, request: "GET / HTTP/1.1", host: "localhost"
2025/11/05 15:48:25 [error] 22#22: *314 upstream timed out (110: Connection timed out) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:48:41 [error] 22#22: *316 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:48:45 [error] 22#22: *318 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:48:48 [error] 22#22: *320 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:48:52 [error] 22#22: *322 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:48:56 [error] 22#22: *324 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:01 [error] 22#22: *326 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:05 [error] 22#22: *328 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:09 [error] 22#22: *330 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:25 [error] 22#22: *332 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:31 [error] 22#22: *334 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:36 [error] 22#22: *336 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:40 [error] 22#22: *338 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:47 [error] 22#22: *340 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:49:54 [error] 22#22: *342 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:50:01 [error] 22#22: *344 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:50:08 [error] 22#22: *346 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:50:17 [error] 22#22: *348 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
2025/11/05 15:50:25 [error] 22#22: *350 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: nodered.local, request: "GET /comms HTTP/1.1", upstream: "http://172.18.0.2:1880/comms", host: "localhost"
